=== 电子病历明细(已排除'未开展相关业务') ===
机构数: 243  有效表: 6957  中断表: 5414
列: 等级 | 机构 | 上传(正常+延迟) | 中断 | 有效 | 中断占比


### 三级(8 家)
  1. 临沂市精神卫生中心（临沂市第四人民医院）             上传  11(11正+0延) | 中断  20 | 有效  31 | 64.5%
 38. 临沭县郑山街道南古卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 39. 临沭县郑山街道卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 40. 临沭县青云镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 41. 临沭县青云镇白旄中心卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 42. 兰陵县下村乡卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 43. 兰陵县兰陵镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 44. 兰陵县南桥镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 45. 兰陵县卞庄镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 46. 兰陵县向城镇兴明卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 47. 兰陵县向城镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 48. 兰陵县城市社区卫生服务中心                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 49. 兰陵县大仲村镇中心卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 50. 兰陵县庄坞镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 51. 兰陵县庄坞镇层山卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 52. 兰陵县新兴镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 53. 兰陵县矿坑镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 54. 兰陵县神山镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 55. 兰陵县芦柞镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 56. 兰陵县车辋镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 57. 兰陵县金岭镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 58. 兰陵县长城镇二庙卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 59. 兰陵县鲁城镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 60. 沂南县依汶镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 61. 沂南县依汶镇里庄卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 62. 沂南县双堠镇南石门卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 63. 沂南县双堠镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 64. 沂南县大庄中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 65. 沂南县孙祖中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 66. 沂南县孙祖镇岱庄卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 67. 沂南县岸堤镇中高湖卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 68. 沂南县岸堤镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 69. 沂南县张庄镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 70. 沂南县杨坡镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 71. 沂南县湖头镇东张家哨卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 72. 沂南县湖头镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 73. 沂南县界湖镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 74. 沂南县砖埠中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 75. 沂南县苏村中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 76. 沂南县蒲汪镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 77. 沂南县蒲汪镇大王庄卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 78. 沂南县辛集镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 79. 沂南县辛集镇库沟卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 80. 沂南县铜井镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 81. 沂南县青驼中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 82. 沂南县青驼镇高里卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 83. 沂南县马牧池中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 84. 沂水县夏蔚镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 85. 河东工业园区社区卫生服务中心                   上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 86. 罗庄区付庄中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 87. 罗庄区册山中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 88. 罗庄区沂堂镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 89. 莒南县十字路街道卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 90. 莒南县坊前镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 91. 莒南县大店镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 92. 莒南县岭泉镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 93. 莒南县板泉镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 94. 莒南县汀水卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 95. 莒南县洙边镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 96. 莒南县涝坡镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 97. 莒南县甲子山卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 98. 莒南县相沟镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 99. 莒南县相邸卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
100. 莒南县石莲子镇中心卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
101. 莒南县筵宾镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
102. 莒南县道口镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
103. 蒙阴县界牌镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
104. 费县上冶中心卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
105. 费县刘庄卫生院                          上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
106. 费县南张庄乡卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
107. 费县城北卫生院                          上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
108. 费县大田庄乡卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
109. 费县探沂中心卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
110. 费县新庄中心卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
111. 费县朱田镇卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
112. 费县梁邱中心卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
113. 费县石井镇卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
114. 费县胡阳镇卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
115. 费县芍药山卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
116. 费县薛庄镇卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
117. 费县费城街道卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
118. 费县马庄中心卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
119. 郯城县庙山中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
120. 郯城县归昌乡卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
121. 郯城县新村银杏产业开发区卫生院                  上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
122. 郯城县李庄镇沙墩卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
123. 郯城县杨集中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
124. 郯城县泉源乡卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
125. 郯城县港上镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
126. 郯城县红花镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
127. 郯城县红花镇第二卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
128. 郯城县胜利镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
129. 郯城县花园中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
130. 郯城县郯城卫生院                         上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
131. 郯城县郯城镇第三卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
132. 郯城县郯城镇第二卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
133. 郯城县重坊中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
134. 郯城县马头中心卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
135. 郯城县马头镇高册卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
136. 郯城县马陵山景区人民医院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
137. 郯城县高峰头中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
138. 临沂市兰山区柳青街道社区服务中心                 上传   3(3正+0延) | 中断  25 | 有效  28 | 89.3%
139. 兰陵县长城镇中心卫生院                      上传   8(8正+0延) | 中断  20 | 有效  28 | 71.4%
140. 平邑县临涧中心卫生院                       上传   8(8正+0延) | 中断  20 | 有效  28 | 71.4%
141. 平邑县卞桥镇资邱卫生院                      上传   8(8正+0延) | 中断  20 | 有效  28 | 71.4%
142. 沂水县泉庄镇卫生院                        上传   9(9正+0延) | 中断  19 | 有效  28 | 67.9%
143. 沂水县王庄卫生院                         上传   9(9正+0延) | 中断  19 | 有效  28 | 67.9%
144. 平邑县丰阳镇卫生院                        上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
145. 平邑县仲村镇中心卫生院                      上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
146. 平邑县平邑镇卫生院                        上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
147. 平邑县武台镇卫生院                        上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
148. 平邑县温水镇卫生院                        上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
149. 平邑县郑城镇中心卫生院                      上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
150. 平邑县郑城镇魏庄卫生院                      上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
151. 沂水县四十里堡镇中心卫生院                    上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
152. 沂水县沙沟镇中心卫生院                      上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
153. 沂水县高庄镇中心卫生院                      上传  10(10正+0延) | 中断  18 | 有效  28 | 64.3%
154. 崔家峪医院                            上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
155. 平邑县保太镇卫生院                        上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
156. 平邑县卞桥镇中心卫生院                      上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
157. 平邑县铜石镇卫生院                        上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
158. 沂水县姚店子中心卫生院                      上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
159. 沂水县富官庄镇卫生院                       上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
160. 沂水县许家湖镇卫生院                       上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
161. 沂水县诸葛镇中心卫生院                      上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
162. 沂水县高桥镇中心卫生院                      上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
163. 沂水县黄山铺镇卫生院                       上传  11(11正+0延) | 中断  17 | 有效  28 | 60.7%
164. 平邑县地方镇中心卫生院                      上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
165. 平邑县柏林镇卫生院                        上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
166. 平邑县流峪镇卫生院                        上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
167. 新民医院                             上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
168. 沂水县圈里乡卫生院                        上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
169. 沂水县杨庄镇中心卫生院                      上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
170. 沂水县道托镇卫生院                        上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
171. 沂水县院东头镇卫生院                       上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
172. 沂水县龙家圈镇卫生院                       上传  12(12正+0延) | 中断  16 | 有效  28 | 57.1%
173. 蒙阴县野店镇卫生院                        上传  13(13正+0延) | 中断  15 | 有效  28 | 53.6%
174. 平邑县白彦镇卫生院                        上传  14(14正+0延) | 中断  14 | 有效  28 | 50.0%
175. 沂水县沂城街道社区卫生服务中心                  上传  14(14正+0延) | 中断  14 | 有效  28 | 50.0%
176. 蒙阴县桃墟镇卫生院                        上传  14(14正+0延) | 中断  14 | 有效  28 | 50.0%
177. 蒙阴县蒙阴镇卫生院                        上传  14(14正+0延) | 中断  14 | 有效  28 | 50.0%
178. 蒙阴县高都镇卫生院                        上传  14(14正+0延) | 中断  14 | 有效  28 | 50.0%
179. 蒙阴县坦埠中心卫生院                       上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
180. 蒙阴县孟良崮中心卫生院                      上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
181. 蒙阴县岱崮中心卫生院                       上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
182. 蒙阴县常路中心卫生院                       上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
183. 蒙阴县旧寨乡卫生院                        上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
184. 蒙阴县联城镇卫生院                        上传  15(15正+0延) | 中断  13 | 有效  28 | 46.4%
185. 临沂市河东区凤凰岭街道卫生院                   上传  18(18正+0延) | 中断  10 | 有效  28 | 35.7%
186. 临沂市兰山区白沙埠镇卫生院                    上传  19(19正+0延) | 中断   9 | 有效  28 | 32.1%
187. 临沂经济技术开发区朝阳街道卫生院                 上传  19(19正+0延) | 中断   9 | 有效  28 | 32.1%
188. 临沂经济技术开发区梅家埠街道卫生院                上传  20(20正+0延) | 中断   8 | 有效  28 | 28.6%
189. 临沂经济技术开发区芝麻墩中心卫生院                上传  20(20正+0延) | 中断   8 | 有效  28 | 28.6%
190. 临沂市兰山区方城中心卫生院                    上传  21(21正+0延) | 中断   7 | 有效  28 | 25.0%
191. 临沂市河东区相公中心卫生院                    上传  23(23正+0延) | 中断   5 | 有效  28 | 17.9%
192. 临沂市兰山区银雀山街道办事处社区卫生服务中心           上传  24(24正+0延) | 中断   4 | 有效  28 | 14.3%
